dataset,instance,n,m,constructive,local_search,best_method_of,best_global_of,relative_dev,is_best,avg_time_per_iter,avg_of,std_of,iters,alpha_teua,beta
Geo,Geo 250 5.txt,250,25,CGR2,FLS,148.61889802491774,148.63019950527033,7.60375777614762e-05,0,0.12187792900018395,146.3945910046923,1.3957995564087209,100,,0.9
Geo,Geo 250 6.txt,250,25,CGR,BLS,97.5100397909598,99.80386662407531,0.022983346344240593,0,0.013535361996619031,93.13517173869131,1.860006172448438,100,0.1,
Geo,Geo 250 6.txt,250,25,CGR,FLS,99.80386662407531,99.80386662407531,0.0,1,0.07734433499979787,97.06916250334515,1.423391741470677,100,0.1,
Geo,Geo 250 6.txt,250,25,CGR2,BLS,97.95910535880537,99.80386662407531,0.01848386568246378,0,0.004453246002667583,93.33250445417029,1.8877965595692374,100,,0.9
Geo,Geo 250 6.txt,250,25,CGR2,FLS,99.80386662407531,99.80386662407531,0.0,1,0.06428756899898871,96.95936962192421,1.3579316638257144,100,,0.9
Geo,Geo 250 7.txt,250,25,CGR,BLS,172.54829210564836,174.7929251785253,0.01284167005377585,0,0.005718966002459638,168.7290440699241,2.095954205037201,100,0.1,
Geo,Geo 250 7.txt,250,25,CGR,FLS,174.7929251785253,174.7929251785253,0.0,1,0.08134998100053054,172.82427097901342,1.2774703800800526,100,0.1,
Geo,Geo 250 7.txt,250,25,CGR2,BLS,172.8066788027409,174.7929251785253,0.011363425457613683,0,0.01184533399879001,168.4049522881816,2.0990074421545293,100,,0.9
Geo,Geo 250 7.txt,250,25,CGR2,FLS,174.7929251785253,174.7929251785253,0.0,1,0.06597088699345477,172.65318056094424,1.4926239287884357,100,,0.9
Geo,Geo 250 8.txt,250,25,CGR,BLS,162.4943401373265,163.69254909153256,0.00731987473379772,0,0.005623298001009971,158.139338672187,1.8253365831693178,100,0.1,
Geo,Geo 250 8.txt,250,25,CGR,FLS,163.69254909153256,163.69254909153256,0.0,1,0.05441222000226844,161.11040888596844,1.3484291509532083,100,0.1,
Geo,Geo 250 8.txt,250,25,CGR2,BLS,161.23512807392837,163.69254909153256,0.015012418288080205,0,0.0029651039995951577,157.97133099862458,1.5655589122145215,100,,0.9
Geo,Geo 250 8.txt,250,25,CGR2,FLS,162.99691463973045,163.69254909153256,0.0042496402900606455,0,0.05706574300129432,160.96560933379362,1.081406067169995,100,,0.9
Geo,Geo 250 9.txt,250,25,CGR,BLS,177.09527847995244,179.17754568217686,0.011621250834174932,0,0.00724938400206156,172.91407264621247,1.6515535275517665,100,0.1,
Geo,Geo 250 9.txt,250,25,CGR,FLS,179.16270569546887,179.17754568217686,8.282280378092771e-05,0,0.06504925399494824,176.94820276410977,1.3545211184154586,100,0.1,
Geo,Geo 250 9.txt,250,25,CGR2,BLS,179.04815339917585,179.17754568217686,0.0007221456377716265,0,0.0035654260043520482,173.3956694218115,2.075072555901275,100,,0.9
Geo,Geo 250 9.txt,250,25,CGR2,FLS,179.17754568217686,179.17754568217686,0.0,1,0.056238559001358226,177.0536724299382,1.515041335982638,100,,0.9
Geo,Geo 250 10.txt,250,25,CGR,BLS,100.77107275331277,102.22717864710907,0.014243823541514548,0,0.004834292996674776,95.29881955163201,2.147492973145731,100,0.1,
Geo,Geo 250 10.txt,250,25,CGR,FLS,102.22717864710907,102.22717864710907,0.0,1,0.07307308099698276,99.43145311725021,1.7754834475177124,100,0.1,
