dataset,instance,n,m,alpha,best_of,avg_of,std_of,iters,fls_max_iter
Geo,Geo 100 18.txt,100,30,0.4,109.86908651486671,107.92933735862484,0.9074519077483351,100,200
Geo,Geo 100 18.txt,100,30,0.5,109.42374939085835,107.77469940427619,0.9423042081153562,100,200
Geo,Geo 100 18.txt,100,30,0.6,109.86908651486671,107.9601207678502,0.9991152958056075,100,200
Geo,Geo 100 18.txt,100,30,0.7,109.42374939085835,107.76434012071113,0.8744262213365949,100,200
Geo,Geo 100 18.txt,100,30,0.8,109.86908651486671,107.6626538473019,1.0009308664236558,100,200
Geo,Geo 100 18.txt,100,30,0.9,109.86908651486671,107.79830392944747,0.9696306594882539,100,200
Geo,Geo 250 1.txt,250,25,0.1,171.01069431541816,167.94417825686435,1.6966374157553656,100,200
Geo,Geo 250 1.txt,250,25,0.2,171.01069431541816,167.88733163491256,1.4826215328338483,100,200
Geo,Geo 250 1.txt,250,25,0.3,171.01069431541816,168.07832193852136,1.6180332288671955,100,200
Geo,Geo 250 1.txt,250,25,0.4,171.01069431541816,168.32200142798882,1.5185507675688519,100,200
Geo,Geo 250 1.txt,250,25,0.5,171.01069431541816,168.1201300679781,2.115342884842619,100,200
Geo,Geo 250 1.txt,250,25,0.6,171.01069431541816,167.93709518406962,1.6493990419208564,100,200
Geo,Geo 250 1.txt,250,25,0.7,171.01069431541816,167.97984894973968,1.7778521742449274,100,200
Geo,Geo 250 1.txt,250,25,0.8,171.01069431541816,167.77022779940606,1.3736101036962873,100,200
Geo,Geo 250 1.txt,250,25,0.9,171.01069431541816,167.93144716136536,1.5386363754988244,100,200
Geo,Geo 250 10.txt,250,25,0.1,102.19158876538465,99.12584359832908,1.732203405390866,100,200
Geo,Geo 250 10.txt,250,25,0.2,102.11942863077826,99.02211404999923,1.804768722222613,100,200
Geo,Geo 250 10.txt,250,25,0.3,102.22717864710907,99.09897711860616,1.8459246196609354,100,200
Geo,Geo 250 10.txt,250,25,0.4,102.22717864710907,99.57059976196558,1.6518030443975742,100,200
Geo,Geo 250 10.txt,250,25,0.5,102.22717864710907,98.93170959017247,1.8992169644291013,100,200
Geo,Geo 250 10.txt,250,25,0.6,102.11942863077826,99.62297083281626,1.5151032120772217,100,200
Geo,Geo 250 10.txt,250,25,0.7,102.22717864710907,99.36649814713036,1.7840351334805966,100,200
Geo,Geo 250 10.txt,250,25,0.8,102.22717864710907,99.19082475156146,1.766847452414727,100,200
Geo,Geo 250 10.txt,250,25,0.9,102.22717864710907,99.12329802611994,1.8232167709148395,100,200
Geo,Geo 250 11.txt,250,25,0.1,52.32833445729408,50.568757091509596,0.9976565235040136,100,200
Geo,Geo 250 11.txt,250,25,0.2,52.083743135004525,50.534894212035496,0.9011091057899434,100,200
Geo,Geo 250 11.txt,250,25,0.3,52.30988193155487,50.82379753274894,0.7870326772319529,100,200
Geo,Geo 250 11.txt,250,25,0.4,52.962747281602326,50.75069993168434,0.9649742634258752,100,200
Geo,Geo 250 11.txt,250,25,0.5,52.30988193155487,50.715892634722294,0.8671668016316305,100,200
Geo,Geo 250 11.txt,250,25,0.6,52.962747281602326,50.74301858002129,0.8843898365646451,100,200
Geo,Geo 250 11.txt,250,25,0.7,52.30988193155487,50.619451967209564,0.8632134013532949,100,200
Geo,Geo 250 11.txt,250,25,0.8,52.30988193155487,50.73670167303622,0.8815312709573124,100,200
Geo,Geo 250 11.txt,250,25,0.9,52.57588054232596,50.553572311096524,1.0584779938295699,100,200
Geo,Geo 250 12.txt,250,25,0.1,124.20894905260835,121.71090492983843,1.3913706876556735,100,200
Geo,Geo 250 12.txt,250,25,0.2,124.20894905260835,121.67860855861495,1.4738843740548964,100,200
Geo,Geo 250 12.txt,250,25,0.3,124.20894905260835,121.8066107034927,1.3847297002774295,100,200
Geo,Geo 250 12.txt,250,25,0.4,124.20852106392638,121.57057880004544,1.4613637974641902,100,200
Geo,Geo 250 12.txt,250,25,0.5,124.20852106392638,121.63834634058738,1.5048609087549383,100,200
Geo,Geo 250 12.txt,250,25,0.6,124.20852106392638,121.81967381205348,1.225562902266363,100,200
Geo,Geo 250 12.txt,250,25,0.7,124.20852106392638,121.91440207183685,1.2309480545802745,100,200
Geo,Geo 250 12.txt,250,25,0.8,124.20852106392638,121.51353893372172,1.2803126149235369,100,200
Geo,Geo 250 12.txt,250,25,0.9,124.20852106392638,121.45337321309606,1.5598357982839222,100,200
Geo,Geo 250 13.txt,250,25,0.1,172.92980074992238,169.97325216640937,1.3784209962035388,100,200
Geo,Geo 250 13.txt,250,25,0.2,173.43392274784824,170.05579776406725,1.3946907493258107,100,200
Geo,Geo 250 13.txt,250,25,0.3,172.92980074992238,169.93792976029087,1.4447045823815599,100,200
Geo,Geo 250 13.txt,250,25,0.4,172.92980074992238,169.81290909687215,1.4452664034463876,100,200
Geo,Geo 250 13.txt,250,25,0.5,173.43392274784824,169.93467115452745,1.3168724572621027,100,200
Geo,Geo 250 13.txt,250,25,0.6,172.92980074992238,169.84676827953754,1.3925478260230566,100,200
Geo,Geo 250 13.txt,250,25,0.7,173.43392274784824,170.0827796260277,1.4305954975311534,100,200
Geo,Geo 250 13.txt,250,25,0.8,172.92980074992238,170.07582339083976,1.3386872367743912,100,200
Geo,Geo 250 13.txt,250,25,0.9,172.92980074992238,169.83220242788747,1.3463783045128552,100,200
Geo,Geo 250 14.txt,250,25,0.1,97.98139789260817,96.16751774929327,1.2579710341802988,100,200
Geo,Geo 250 14.txt,250,25,0.2,97.98139789260817,96.13171599955875,1.454257152143109,100,200
Geo,Geo 250 14.txt,250,25,0.3,97.98139789260817,96.06429131085935,1.3498301668532438,100,200
Geo,Geo 250 14.txt,250,25,0.4,97.98139789260817,96.02079752881214,1.6708266503937168,100,200
Geo,Geo 250 14.txt,250,25,0.5,97.98139789260817,96.0164941471976,1.4996732873521939,100,200
Geo,Geo 250 14.txt,250,25,0.6,97.98139789260817,95.8825094235247,1.5458131517910294,100,200
Geo,Geo 250 14.txt,250,25,0.7,97.98139789260817,96.39650705926208,1.2784489656345828,100,200
Geo,Geo 250 14.txt,250,25,0.8,98.43875664042068,96.1988694575722,1.3005125291046393,100,200
Geo,Geo 250 14.txt,250,25,0.9,97.98139789260817,95.81445920783915,1.534626968335676,100,200
Geo,Geo 250 15.txt,250,25,0.1,171.03421963867063,166.95189501544297,2.1327196317148376,100,200
Geo,Geo 250 15.txt,250,25,0.2,171.03421963867063,166.8988944282154,1.7122836645537678,100,200
Geo,Geo 250 15.txt,250,25,0.3,171.03421963867063,166.85427693084802,2.106371737866149,100,200
Geo,Geo 250 15.txt,250,25,0.4,171.03421963867063,167.25287235062154,1.8042810044810806,100,200
Geo,Geo 250 15.txt,250,25,0.5,171.03421963867063,167.3106439582265,2.0260272757193984,100,200
Geo,Geo 250 15.txt,250,25,0.6,171.03421963867063,166.9436648743626,1.9900149699351757,100,200
Geo,Geo 250 15.txt,250,25,0.7,171.03421963867063,167.57629678672302,1.855600533417214,100,200
Geo,Geo 250 15.txt,250,25,0.8,171.03421963867063,166.90447004582487,1.873219727106015,100,200
Geo,Geo 250 15.txt,250,25,0.9,171.03421963867063,166.97087319303458,1.8202149161683803,100,200
Geo,Geo 250 16.txt,250,25,0.1,135.80289160382978,133.69019345847752,1.1103816982383088,100,200
Geo,Geo 250 16.txt,250,25,0.2,135.80289160382978,133.7205362078903,1.100360680866529,100,200
Geo,Geo 250 16.txt,250,25,0.3,136.4423417333145,133.78431979547474,1.297908360047439,100,200
Geo,Geo 250 16.txt,250,25,0.4,135.80289160382978,133.78593361255037,1.2529722409842399,100,200
Geo,Geo 250 16.txt,250,25,0.5,135.9551408280612,133.85349078790267,1.1105681024254306,100,200
Geo,Geo 250 16.txt,250,25,0.6,136.4423417333145,133.5931224486762,1.2346943599132534,100,200
Geo,Geo 250 16.txt,250,25,0.7,136.4423417333145,133.95860877010318,1.193740199353561,100,200
Geo,Geo 250 16.txt,250,25,0.8,136.4423417333145,133.92780783273864,1.0358756944518681,100,200
Geo,Geo 250 16.txt,250,25,0.9,136.4423417333145,133.7108754706984,1.2613652872230376,100,200
Geo,Geo 250 17.txt,250,25,0.1,151.77892231324284,148.22847302610592,1.3497671740531947,100,200
Geo,Geo 250 17.txt,250,25,0.2,150.59284199623394,148.29587194962463,1.3713121208327357,100,200
Geo,Geo 250 17.txt,250,25,0.3,150.3995045233101,148.5136534925304,1.1623839716087496,100,200
Geo,Geo 250 17.txt,250,25,0.4,150.3995045233101,148.55976605334618,1.2627079986818524,100,200
Geo,Geo 250 17.txt,250,25,0.5,150.3995045233101,148.35560625874584,1.3276189753008647,100,200
Geo,Geo 250 17.txt,250,25,0.6,150.14869640602794,148.08477072386052,1.3277445923777578,100,200
Geo,Geo 250 17.txt,250,25,0.7,150.3995045233101,148.49141769364735,1.2990841638461537,100,200
Geo,Geo 250 17.txt,250,25,0.8,150.28013230197286,148.49881994934452,1.1223351912823134,100,200
Geo,Geo 250 17.txt,250,25,0.9,150.27232432754863,148.425810945136,1.1971090886149203,100,200
Geo,Geo 250 18.txt,250,25,0.1,176.23226602521225,173.5149191757759,1.5082494697282984,100,200
Geo,Geo 250 18.txt,250,25,0.2,176.14468952765375,173.6176701624247,1.5418709605434229,100,200
Geo,Geo 250 18.txt,250,25,0.3,176.23226602521225,173.4391798099894,1.386352930896332,100,200
Geo,Geo 250 18.txt,250,25,0.4,176.23226602521225,173.61350160067363,1.3597308310346745,100,200
Geo,Geo 250 18.txt,250,25,0.5,176.23226602521225,173.63210969466266,1.4603691520101358,100,200
